                leaf          error rate             true nn           subdomain
                0.01                   0              0.2697             781.256
               0.013                   0              0.2697             781.256
               0.015                   0              0.2697             781.256
                0.02                   0              0.3136             1562.51
                0.03                   0              0.3136             1562.51
                0.05                   0              0.3671                3125
                0.08                   0              0.4398                6250
                 0.1                   0              0.4398                6250
                0.13                   0                0.52               12500
                0.15                   0                0.52               12500
